Delhi, Mumbai, 1148, 2:10, INR6000
Delhi, London, 6704, 8:55, INR37000
Delhi, Bengaluru, 1740, 2:30, INR9000
Delhi, Singapore, 4160, 5:30, INR12500
Delhi, Frankfurt, 6117, 8:35, INR32000
Mumbai, London, 7187, 9:30, INR28000
Mumbai, Bengaluru, 845, 1:32, INR4200
Mumbai, Frankfurt, 6209, 8:55, INR25000
Bengaluru, Singapore, 3180, 4:25, INR8500
Frankfurt, London, 660, 1:25, EUR155
Frankfurt, New York, 6200, 8:40,EUR310
Frankfurt, San Francisco, 9136, 11:30, EUR529
London, New York, 5585, 7:45, GBP280
London, San Francisco, 8620, 11:05, GBP345
New York, San Francisco, 4130, 6:10, USD147
New York, Los Angeles, 3944, 5:50, USD120
New York, Seattle, 3876, 6:12, USD160
San Francisco, Seattle, 1300, 2:05, USD100
San Francisco, Sydney, 11935, 14:35, USD450
Singapore, Tokyo, 5300, 7:06, SGD332
Singapore, Sydney, 6300, 8:20, SGD277
Singapore, San Francisco, 13589, 14:30, SGD1000
Los Angeles, Tokyo, 8773, 11:15, USD 520
Tokyo, Seattle, 7720, 9:20, JPY63300